config_id,category,scenario_count,mean_top10_score_mean,mean_top10_score_median,mean_top10_score_sd,mean_top1_top10_score_gap,mean_candidate_score_mean,mean_candidate_score_median,mean_candidate_score_sd,mean_candidate_score_p10,mean_candidate_score_p90,mean_candidate_score_p90_p10_gap,mean_candidate_fraction_at_least_095,mean_fixed_reference_history_match,mean_artist_hhi,mean_artist_max_share,mean_genre_hhi,mean_genre_max_share,mean_latency_median_ms,mean_top10_overlap_count,mean_top10_jaccard,mean_mean_absolute_rank_change_common,mean_top1_changed
literature_euclidean,coherent_multi_track_history,9,0.940399086942109,0.9387302651590484,0.006051116635541115,0.018921083014708035,0.8163930721389226,0.8347443847029365,0.09109318080707435,0.7134241628585956,0.905477055961075,0.19205289310247933,0.0024444444444444444,0.9216693598232375,0.10000000000000002,0.1,0.09787037037037039,0.15092592592592594,2.690900000743568,3,0.1853667392883079,2.75625,0.8888888888888888
literature_euclidean,single_track_history,4,0.9088770211946224,0.9060099434001382,0.01233518266584752,0.039522990908240546,0.7320969314493041,0.7323032782340131,0.08611496032404575,0.6376535214602155,0.8418429160938887,0.2041893946336732,0.001,0.8830871854346205,0.10500000000000002,0.125,0.12833333333333335,0.2125,2.847775016562082,4.25,0.2898441427853192,2.835714285714286,1
literature_euclidean,transition_conflicting_history,4,0.9308907530318202,0.9277461265782783,0.01128008690144408,0.03737579494709892,0.8062383554692142,0.8152217932541341,0.07552762948838035,0.7309077490746316,0.8850660656853646,0.15415831661073306,0.002,0.89998057954322,0.10500000000000002,0.125,0.11000000000000001,0.15000000000000002,2.8498499741544947,4,0.2549019607843137,2.2833333333333337,0.75
without_energy_cosine,all_history,17,0.9917402987728297,0.9913789103706314,0.002280100332642757,0.007330358794966052,0.8781729111426713,0.911076405603273,0.1104021252122408,0.7449140283481582,0.9751126662627103,0.23019863791455206,0.31058823529411766,0.8909232192272004,0.10000000000000002,0.1,0.10320588235294119,0.15588235294117647,4.134094123454655,5.9411764705882355,0.43061840120663647,2.633403361344538,0.4117647058823529
without_energy_cosine,coherent_multi_track_history,9,0.9938784233427486,0.9935173521831296,0.001924701264471281,0.006592157182311518,0.8870399826547777,0.9287185219055943,0.1202360466351187,0.7452376396690698,0.9818925311983523,0.2366548915292826,0.38666666666666666,0.908060788120664,0.10000000000000002,0.1,0.0930925925925926,0.1388888888888889,4.031744449295932,6,0.4364061864061864,2.6214285714285714,0.4444444444444444
without_energy_cosine,single_track_history,4,0.987484595152649,0.9867425879020713,0.003707173630203295,0.011339484779786385,0.8440691575800001,0.8621066212509017,0.10681880298260904,0.7102132516077052,0.961068002197741,0.2508547505900358,0.16,0.8716500680082264,0.10000000000000002,0.1,0.12166666666666669,0.2,4.3958500027656555,6.25,0.46428571428571425,2.7937499999999997,0.5
without_energy_cosine,transition_conflicting_history,4,0.9911852221106927,0.9912037387610704,0.0016526749384680392,0.004982186438618419,0.8923257538031031,0.920351428275421,0.09185912424039722,0.7788866796165607,0.9739026342224852,0.19501595460592458,0.29,0.8716368404358812,0.10000000000000002,0.1,0.10750000000000003,0.15000000000000002,4.102625011000782,5.5,0.3839285714285714,2.5,0.25
without_energy_valence_cosine,all_history,17,0.9943728419043057,0.994167162734554,0.0016521278128538775,0.005344265943529913,0.8866258933534807,0.9137381152718914,0.10199797014540425,0.7563432324379256,0.9805351335321763,0.22419190109425066,0.3383529411764706,0.8652106987857808,0.10000000000000002,0.1,0.10212745098039218,0.14558823529411766,4.028941175955183,2.764705882352941,0.16915775598164962,3.1784313725490194,0.9411764705882353
without_energy_valence_cosine,coherent_multi_track_history,9,0.99720317467633,0.9970621900473308,0.0012684818667208371,0.0038034665670827104,0.892617957392813,0.9327831767553609,0.11375965223832869,0.7450099363203905,0.9852905766543224,0.24028064033393193,0.4102222222222222,0.8896952282684562,0.10000000000000002,0.1,0.09420370370370372,0.13611111111111113,3.9468666590336294,2,0.11263998776898673,2.962962962962963,0.8888888888888888
without_energy_valence_cosine,single_track_history,4,0.992066302594243,0.9915102793222921,0.002520793531994745,0.008294338240541599,0.8608035591973497,0.8748831754371795,0.10396150043930542,0.7262561907486812,0.974611608142862,0.2483554173941807,0.242,0.8248431697983853,0.10000000000000002,0.1,0.10833333333333335,0.15000000000000002,4.203324991976842,2.75,0.16838665290677673,3.8,1
