variant,algorithm,category,metric,baseline,variant_value,delta_variant_minus_baseline
mmr_60_40,cbf,coherent_multi_track_history,history_match,0.903682,0.903682,0.0
mmr_60_40,cbf,coherent_multi_track_history,intra_list_diversity,0.117602,0.117602,0.0
mmr_60_40,cbf,coherent_multi_track_history,distinct_artist_fraction,0.988889,0.988889,0.0
mmr_60_40,cbf,single_track_history,history_match,0.876193,0.876193,0.0
mmr_60_40,cbf,single_track_history,intra_list_diversity,0.125857,0.125857,0.0
mmr_60_40,cbf,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
mmr_60_40,cbf,transition_conflicting_history,history_match,0.861646,0.861646,0.0
mmr_60_40,cbf,transition_conflicting_history,mood_match,0.716463,0.716463,0.0
mmr_60_40,cbf,transition_conflicting_history,intra_list_diversity,0.125536,0.125536,0.0
mmr_60_40,cbf,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
mmr_60_40,context_mmr,coherent_multi_track_history,history_match,0.905474,0.905655,0.000181
mmr_60_40,context_mmr,coherent_multi_track_history,intra_list_diversity,0.11619,0.124352,0.008162
mmr_60_40,context_mmr,coherent_multi_track_history,distinct_artist_fraction,0.988889,0.988889,0.0
mmr_60_40,context_mmr,mood_only,mood_match,0.953568,0.94852,-0.005048
mmr_60_40,context_mmr,mood_only,intra_list_diversity,0.229248,0.271064,0.041816
mmr_60_40,context_mmr,mood_only,distinct_artist_fraction,1.0,1.0,0.0
mmr_60_40,context_mmr,single_track_history,history_match,0.876336,0.874236,-0.0021
mmr_60_40,context_mmr,single_track_history,intra_list_diversity,0.131985,0.142497,0.010512
mmr_60_40,context_mmr,single_track_history,distinct_artist_fraction,1.0,1.0,0.0
mmr_60_40,context_mmr,transition_conflicting_history,history_match,0.830368,0.811211,-0.019157
mmr_60_40,context_mmr,transition_conflicting_history,mood_match,0.925914,0.931292,0.005378
mmr_60_40,context_mmr,transition_conflicting_history,intra_list_diversity,0.154974,0.206826,0.051852
mmr_60_40,context_mmr,transition_conflicting_history,distinct_artist_fraction,1.0,1.0,0.0
